tau, beta, Energy Variance after Cyclic Protocol 
1000.0,0.3199267137797383,4.1873423801014114e-16
1000.0,0.3351602650938842,3.792388705626647e-16
1000.0,0.35111917342151316,3.635122956215685e-16
1000.0,0.3678379771828633,4.4256831708678797e-16
1000.0,0.38535285937105296,5.033432862766639e-16
1000.0,0.40370172585965547,5.635386088345262e-16
1000.0,0.42292428743894983,6.183040677034832e-16
1000.0,0.44306214575838804,6.302495475482791e-16
1000.0,0.4641588833612779,1.6135353106620825e-15
1000.0,0.4862601580065353,5.571502347538636e-15
1000.0,0.509413801481638,2.1261862008352404e-14
1000.0,0.533669923120631,1.1846820737411177e-13
1000.0,0.5590810182512224,5.40393466017651e-13
1000.0,0.5857020818056666,2.175783143988999e-12
1000.0,0.6135907273413173,1.1165965330237021e-11
1000.0,0.6428073117284321,2.920565867963244e-11
1000.0,0.6734150657750821,7.433074485400086e-11
1000.0,0.7054802310718643,3.269962166840345e-10
1000.0,0.7390722033525778,1.3784787123781701e-09
1000.0,0.7742636826811271,2.8135968852366915e-09
1000.0,0.8111308307896871,6.041726639829756e-09
1000.0,0.8497534359086443,1.2149849198083369e-08
1000.0,0.8902150854450386,3.631026447178496e-08
1000.0,0.9326033468832199,5.858744516062051e-08
1000.0,0.9770099572992252,7.73319436394453e-08
1000.0,1.0235310218990261,2.4167251949478127e-07
1000.0,1.0722672220103233,4.285261792701619e-07
1000.0,1.1233240329780274,5.283735400880408e-07
1000.0,1.1768119524349985,1.189226032009865e-06
1000.0,1.2328467394420661,1.81814776325698e-06
1000.0,1.2915496650148839,2.8912884605814456e-06
1000.0,1.353047774579807,4.944627087219159e-06
1000.0,1.4174741629268053,7.940930197458536e-06
1000.0,1.484968262254465,1.5074601266436137e-05
1000.0,1.5556761439304718,2.1640240921698233e-05
1000.0,1.6297508346206442,3.6866401636758325e-05
1000.0,1.7073526474706906,6.276265486059185e-05
1000.0,1.788649529057435,9.97805755873014e-05
1000.0,1.8738174228603839,0.00015506173570061397
1000.0,1.9630406500402708,0.00029880657269705095
1000.0,2.0565123083486516,0.0003967035248415071
1000.0,2.154434690031884,0.0005549162472202081
1000.0,2.25701971963392,0.0008451412706585491
1000.0,2.3644894126454075,0.0009558184751666842
1000.0,2.4770763559917106,0.0015134290594350825
1000.0,2.595024211399736,0.0016840207616886
1000.0,2.718588242732941,0.002388217316237711
1000.0,2.8480358684358014,0.003192489513705634
1000.0,2.9836472402833394,0.003114838213296358
1000.0,3.1257158496882362,0.0040677791735591684
1000.0,3.2745491628777286,0.0046585987469344265
1000.0,3.4304692863149184,0.004865094952703048
1000.0,3.5938136638046276,0.0059062595512683405
1000.0,3.7649358067924683,0.006333701170365152
1000.0,3.944206059437655,0.007232747153441863
1000.0,4.132012400115337,0.008631202172362889
1000.0,4.328761281083058,0.009147579218934634
1000.0,4.534878508128582,0.009350580174981851
1000.0,4.7508101621027965,0.010317277177428396
1000.0,4.977023564332112,0.011446938316132915
1000.0,5.214008287999684,0.01136159197639112
1000.0,5.462277217684341,0.011138942925733284
1000.0,5.722367659350217,0.01178140423192997
1000.0,5.99484250318941,0.013384088350434614
1000.0,6.280291441834253,0.012549818999009513
1000.0,6.579332246575681,0.01381078212342049
1000.0,6.892612104349697,0.01294399511918852
1000.0,7.220809018385464,0.014306810376089737
1000.0,7.564633275546289,0.013156365702958146
1000.0,7.924828983539173,0.014514016428916518
1000.0,8.302175681319746,0.013556620199511779
1000.0,8.697490026177835,0.013452197716522002
1000.0,9.111627561154892,0.015260642882982501
1000.0,9.54548456661834,0.014222686252261113
1000.0,10.0,0.014429179161882803
10000.0,0.1,3.8042694599368276e-14
10000.0,0.10476157527896648,3.214701893035396e-14
10000.0,0.10974987654930562,2.915069243105439e-14
10000.0,0.11497569953977356,2.7103516549190864e-14
10000.0,0.12045035402587821,2.5913914582624277e-14
10000.0,0.12618568830660204,2.4767043685997492e-14
10000.0,0.1321941148466029,2.4803819977893264e-14
10000.0,0.1384886371393873,2.52236903789234e-14
10000.0,0.14508287784959398,2.3612493133943466e-14
10000.0,0.15199110829529336,2.0349939146118485e-14
10000.0,0.1592282793341092,2.3559201398315067e-14
10000.0,0.16681005372000587,2.4049848089212284e-14
10000.0,0.17475284000076838,2.5086287251259276e-14
10000.0,0.18307382802953684,2.851495102163913e-14
10000.0,0.19179102616724888,3.4768440213516106e-14
10000.0,0.20092330025650468,2.918400139575492e-14
10000.0,0.21049041445120203,2.6317482074333572e-14
10000.0,0.22051307399030456,2.983827334590682e-14
10000.0,0.23101297000831597,3.1004733279084126e-14
10000.0,0.24201282647943823,3.551854677166208e-14
